musclesId,musclesName,equipmentId,equipmentName,image,gender,ordering,video_center,video_side
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-male-Recovery-wrist-flexor-curl-dumbbell-kneeling-front.jpg,male,+weight,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-wrist-flexor-curl-dumbbell-kneeling-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-wrist-flexor-curl-dumbbell-kneeling-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-female-Recovery-wrist-flexor-curl-dumbbell-kneeling-front.jpg,female,+weight,https://media.musclewiki.com/media/uploads/videos/branded/female-Recovery-wrist-flexor-curl-dumbbell-kneeling-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-Recovery-wrist-flexor-curl-dumbbell-kneeling-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-male-Dumbbells-dumbbell-reverse-curl-front.jpg,male,+weight,https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-reverse-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-reverse-curl-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-female-Dumbbells-dumbbell-reverse-curl-front.jpg,female,+weight,https://media.musclewiki.com/media/uploads/videos/branded/female-Dumbbells-dumbbell-reverse-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-Dumbbells-dumbbell-reverse-curl-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-male-dumbbell-wrist-curl-front.jpg,male,+weight,https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-wrist-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-wrist-curl-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-female-dumbbell-wrist-curl-front.jpg,female,+weight,https://media.musclewiki.com/media/uploads/videos/branded/female-dumbbell-wrist-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-dumbbell-wrist-curl-side.mp4
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-male-Kettlebells-kettlebell-farmers-carry-side.jpg,male,-weight,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-farmers-carry-side.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-farmers-carry-front.mp4
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-female-Kettlebells-kettlebell-farmers-carry-side.jpg,female,-weight,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-farmers-carry-side.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-farmers-carry-front.mp4
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-male-Kettlebells-kettlebell-wrist-curl-front.jpg,male,-weight,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-wrist-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-wrist-curl-side.mp4
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-female-Kettlebells-kettlebell-wrist-curl-front.jpg,female,-weight,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-wrist-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-wrist-curl-side.mp4
